date,sunset,sunrise,wind_speed_10m_max,wind_gusts_10m_max,uv_index_max,weather_code,temperature_2m_max,temperature_2m_min,apparent_temperature_max,apparent_temperature_min,daylight_duration,sunshine_duration,uv_index_clear_sky_max,rain_sum,showers_sum,snowfall_sum,precipitation_sum,precipitation_hours,precipitation_probability_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,time
2025-06-23 00:00:00+00:00,1750707203,1750646624,29.627363,87.84,5.9,80.0,26.4955,16.1455,24.039736,12.919363,60579.074,35340.734,6.95,0.4,0.8000001,0.0,1.2,5.0,75.0,261.07843,16.69,4.9161777,2025-06-23 00:00:00+00:00
2025-06-24 00:00:00+00:00,1750793607,1750733047,21.791153,50.76,4.7,61.0,22.2955,14.5955,18.934095,11.761818,60559.832,17680.113,6.95,0.2,0.2,0.0,0.5,3.0,30.0,259.61383,11.94,4.007487,2025-06-24 00:00:00+00:00
2025-06-25 00:00:00+00:00,1750880008,1750819473,22.35481,46.44,6.8,80.0,25.2455,17.9955,23.744827,17.103859,60534.4,32773.137,6.85,3.5,0.0,0.0,3.5,5.0,70.0,277.93707,15.2,3.9432588,2025-06-25 00:00:00+00:00
2025-06-26 00:00:00+00:00,1750966406,1750905902,22.828087,85.32,6.55,96.0,32.495502,15.945499,32.63917,15.759087,60502.844,49280.957,6.95,3.9,0.0,0.0,3.9,1.0,85.0,213.74933,21.9,4.911683,2025-06-26 00:00:00+00:00
2025-06-27 00:00:00+00:00,1751052800,1750992334,23.749088,51.48,5.6,61.0,21.845499,16.7955,20.709923,16.020445,60465.227,25714.32,6.85,1.7,0.0,0.0,1.7,2.0,95.0,278.32162,12.63,3.2418315,2025-06-27 00:00:00+00:00
2025-06-28 00:00:00+00:00,1751139192,1751078768,18.218275,41.760002,6.6,3.0,29.345499,14.7455,28.878456,14.482281,60421.613,43200.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,267.69992,23.01,5.483362,2025-06-28 00:00:00+00:00
2025-06-29 00:00:00+00:00,1751225580,1751165206,22.104116,48.6,6.85,3.0,27.6955,18.4955,26.866901,15.943947,60372.09,51589.477,6.85,0.0,0.0,0.0,0.0,0.0,0.0,295.3135,19.36,5.426992,2025-06-29 00:00:00+00:00
2025-06-30 00:00:00+00:00,1751311965,1751251646,11.885453,27.0,6.9,2.0,26.7955,13.695499,24.648241,11.978649,60316.727,54054.855,6.95,0.0,0.0,0.0,0.0,0.0,0.0,332.03784,28.69,5.8779817,2025-06-30 00:00:00+00:00
2025-07-01 00:00:00+00:00,1751398346,1751338088,9.449572,23.4,7.0,0.0,32.1455,15.7455,30.840446,15.057789,60255.61,53822.957,7.0,0.0,0.0,0.0,0.0,0.0,0.0,112.55728,28.67,6.248932,2025-07-01 00:00:00+00:00
2025-07-02 00:00:00+00:00,1751484724,1751424533,10.390226,26.64,7.0,2.0,36.3955,19.9455,36.46862,19.445158,60188.824,53981.2,7.0,0.0,0.0,0.0,0.0,0.0,0.0,128.41455,28.88,7.12766,2025-07-02 00:00:00+00:00
2025-07-03 00:00:00+00:00,1751571099,1751510980,17.713316,43.92,6.85,80.0,26.095499,17.2455,24.762352,15.863951,60116.46,37800.504,6.95,1.3,0.0,0.0,1.4000001,2.0,98.0,311.97266,17.99,4.762594,2025-07-03 00:00:00+00:00
2025-07-04 00:00:00+00:00,1751657470,1751597429,11.753877,37.8,6.75,3.0,23.6455,14.445499,21.803839,13.711433,60038.61,48697.453,6.75,0.0,0.0,0.0,0.0,0.0,0.0,291.97708,25.08,4.783802,2025-07-04 00:00:00+00:00
2025-07-05 00:00:00+00:00,1751743839,1751683880,15.941944,40.68,6.0,3.0,27.9455,15.1455,25.506828,13.616255,59955.35,50267.438,6.85,0.0,0.0,0.0,0.0,0.0,3.0,246.61478,23.08,5.9640408,2025-07-05 00:00:00+00:00
2025-07-06 00:00:00+00:00,1751830203,1751770333,17.651016,43.199997,6.35,61.0,28.6455,18.9455,26.325794,17.807728,59866.645,25569.586,6.8,0.0,0.0,0.0,0.0,0.0,23.0,240.11359,18.95,5.6999335,2025-07-06 00:00:00+00:00
2025-07-07 00:00:00+00:00,1751916565,1751856789,13.854155,31.319998,5.85,95.0,22.9955,16.6455,22.513765,16.036104,59771.652,9811.516,6.6,4.1,0.1,0.0,4.2000003,5.0,90.0,254.7539,10.37,2.5497262,2025-07-07 00:00:00+00:00
2025-07-08 00:00:00+00:00,1752002923,1751943248,16.981165,40.68,5.7,80.0,20.6955,14.1455,17.959341,12.550962,59670.44,35761.137,6.65,1.7,0.2,0.0,1.9000001,4.0,65.0,292.30298,17.12,3.7637148,2025-07-08 00:00:00+00:00
