time,temperature_2m (°C),weather_code (wmo code),rain (mm),snowfall (cm),precipitation_mm,apparent_temperature (°C),relative_humidity_2m (%),precipitation_probability (%),showers (mm),snow_depth (m),pressure_msl (hPa),surface_pressure (hPa),visibility (m),evapotranspiration (mm),et0_fao_evapotranspiration (mm),wind_speed_10m (km/h),wind_speed_80m (km/h),wind_speed_120m (km/h),wind_speed_180m (km/h),wind_gusts_10m (km/h),temperature_80m (°C),temperature_120m (°C),temperature_180m (°C),soil_temperature_0cm (°C),soil_temperature_6cm (°C),soil_temperature_18cm (°C),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),soil_moisture_3_to_9cm (m³/m³),cloud_cover (%),soil_moisture_9_to_27cm (m³/m³)
2024-01-01T00:00,5.8,3,0.00,0.00,0.00,2.9,84,NaN,0.00,0.00,1004.6,999.9,24140.00,0.00,0.00,9.3,24.9,32.7,39.0,21.2,6.1,6.5,6.7,4.6,5.5,6.2,0.314,0.316,0.319,100,0.328
2024-01-01T01:00,5.6,3,0.00,0.00,0.00,2.7,84,NaN,0.00,0.00,1005.0,1000.3,24140.00,0.00,0.00,8.8,22.9,31.6,39.0,19.8,5.7,6.1,6.6,4.3,5.3,6.2,0.314,0.316,0.319,100,0.328
2024-01-01T02:00,5.2,3,0.00,0.00,0.00,2.5,86,NaN,0.00,0.00,1005.0,1000.3,24140.00,0.00,0.00,8.0,21.5,29.1,36.0,18.7,5.4,5.9,6.2,4.0,5.0,6.1,0.314,0.315,0.319,100,0.328
2024-01-01T03:00,5.1,3,0.00,0.00,0.00,2.3,85,NaN,0.00,0.00,1004.0,999.3,24140.00,0.00,0.00,8.0,22.9,31.6,39.5,16.9,5.5,6.2,6.6,3.8,4.9,6.1,0.314,0.315,0.319,100,0.328
2024-01-01T04:00,5.4,3,0.00,0.00,0.00,2.5,82,NaN,0.00,0.00,1004.1,999.4,24140.00,0.00,0.00,8.7,21.8,31.9,40.5,18.7,5.5,5.8,6.2,4.6,4.8,6.0,0.314,0.315,0.319,89,0.328
2024-01-01T05:00,5.4,80,0.00,0.00,0.00,2.4,83,NaN,0.00,0.00,1004.5,999.8,24140.00,0.00,0.00,9.4,21.1,31.6,39.8,19.8,5.2,5.3,5.6,4.7,4.9,5.9,0.315,0.315,0.319,87,0.328
2024-01-01T06:00,5.0,80,0.00,0.00,0.00,2.1,84,NaN,0.00,0.00,1003.9,999.2,24140.00,0.00,0.00,8.3,21.3,30.6,39.5,19.8,5.0,5.2,5.6,3.7,4.6,5.8,0.314,0.315,0.318,88,0.328
2024-01-01T07:00,4.8,3,0.00,0.00,0.00,2.1,86,NaN,0.00,0.00,1004.0,999.3,24140.00,0.00,0.00,7.7,20.9,28.2,35.5,17.6,5.0,5.2,5.6,3.8,4.5,5.8,0.314,0.315,0.318,100,0.328
2024-01-01T08:00,4.8,80,0.00,0.00,0.00,1.9,87,NaN,0.00,0.00,1004.3,999.6,24140.00,0.00,0.02,9.1,21.4,31.9,40.0,19.1,4.7,4.8,5.2,4.2,4.5,5.7,0.315,0.316,0.318,99,0.328
2024-01-01T09:00,6.0,80,0.00,0.00,0.00,2.9,80,NaN,0.00,0.00,1004.8,1000.1,24140.00,0.00,0.03,10.5,22.4,28.5,40.3,22.3,5.7,5.4,5.5,5.9,5.4,5.7,0.320,0.319,0.320,95,0.328
2024-01-01T10:00,6.6,3,0.00,0.00,0.00,3.3,77,NaN,0.00,0.00,1004.6,1000.0,24140.00,0.00,0.05,11.1,22.4,26.6,30.5,24.5,5.9,5.6,5.1,6.9,5.7,5.7,0.317,0.318,0.320,97,0.328
2024-01-01T11:00,7.1,80,0.00,0.00,0.00,3.8,76,NaN,0.00,0.00,1004.7,1000.1,24140.00,0.00,0.06,12.0,23.2,26.7,31.1,26.6,6.4,5.9,5.5,7.2,6.2,5.8,0.317,0.318,0.320,100,0.328
2024-01-01T12:00,7.6,80,0.10,0.00,0.10,4.3,75,NaN,0.00,0.00,1005.0,1000.4,21720.00,0.00,0.06,11.8,22.9,26.6,29.8,25.9,6.9,6.5,5.9,7.5,6.7,5.9,0.318,0.319,0.322,100,0.328
2024-01-01T13:00,7.8,80,0.00,0.00,0.10,4.7,76,NaN,0.10,0.00,1004.8,1000.2,24140.00,0.00,0.05,11.5,22.3,25.8,28.7,25.2,7.1,6.7,6.2,7.4,6.8,6.0,0.319,0.320,0.322,100,0.328
2024-01-01T14:00,7.7,3,0.00,0.00,0.00,4.9,77,NaN,0.00,0.00,1004.7,1000.1,24140.00,0.00,0.04,9.2,19.4,23.3,28.6,24.8,7.2,6.9,6.5,7.0,6.8,6.1,0.317,0.319,0.321,100,0.328
